"tablename","Gram_negative","Gram_positive","p","test","SMD","Missing"
"n","121","145","","","",""
"age_yrs (median [IQR])","62.00 [53.00, 71.00]","63.00 [54.00, 71.00]","0.534","nonnorm","0.068","0.0"
"gender = Female (%)","121 (100.0)","145 (100.0)","NA","","<0.001","0.0"
"BMI (median [IQR])","24.69 [22.22, 26.93]","24.69 [22.53, 27.68]","0.305","nonnorm","0.108","4.1"
"COPD = 1 (%)","11 (9.1)","18 (12.4)","0.504","","0.107","0.0"
"Chronic_heart_failure = 1 (%)","4 (3.3)","7 (4.8)","0.755","","0.077","0.0"
"Past_myocardial_infarction = 1 (%)","12 (9.9)","8 (5.5)","0.262","","0.165","0.0"
"Cerebrovascular_disease = 1 (%)","7 (5.8)","14 (9.7)","0.349","","0.145","0.0"
"mneoplasm = 1 (%)","31 (25.6)","43 (29.7)","0.553","","0.090","0.0"
"ckd = 1 (%)","18 (14.9)","28 (19.3)","0.430","","0.118","0.0"
"diabetes = 1 (%)","22 (18.2)","31 (21.4)","0.620","","0.080","0.0"
"ICUA_no_complication = 1 (%)","90 (74.4)","106 (73.1)","0.924","","0.029","0.0"
"Syndecan.1.CD138..29. (mean (SD))","17374.69 (27607.47)","14904.28 (11688.52)","0.329","","0.117","0.0"
"CX3CL1.Fractalkine..46. (median [IQR])","3720.30 [2431.45, 5398.14]","3474.08 [1876.92, 4846.39]","0.120","nonnorm","0.135","7.1"
"Cystatin.C..75. (median [IQR])","1045110.93 [638420.76, 1453617.31]","939519.14 [575175.94, 1461503.17]","0.334","nonnorm","0.059","0.0"
"ESM.1..22. (median [IQR])","1586.21 [972.86, 3613.78]","1262.52 [615.04, 2382.02]","0.018","nonnorm","0.336","0.0"
"Ang.1..64. (median [IQR])","1771.44 [979.56, 3438.89]","2195.10 [1142.99, 3700.05]","0.164","nonnorm","0.119","0.0"
"Ang.2..26. (median [IQR])","11223.34 [5422.00, 17105.05]","8714.49 [4336.42, 13864.38]","0.025","nonnorm","0.113","0.0"
"ANG_ratio (median [IQR])","5.40 [2.04, 15.13]","3.67 [1.53, 9.62]","0.027","nonnorm","0.169","0.0"
"Platelets_value_1 (median [IQR])","125.00 [52.00, 219.50]","144.00 [72.00, 227.25]","0.285","nonnorm","0.035","1.1"
"WBC_2_1 (median [IQR])","15.45 [6.45, 23.88]","13.55 [7.60, 21.70]","0.483","nonnorm","0.128","0.8"
"Creatinine_value_1 (median [IQR])","147.00 [105.75, 218.75]","147.00 [89.00, 215.00]","0.733","nonnorm","0.015","1.1"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","13.70 [8.85, 19.68]","13.70 [8.85, 23.35]","0.891","nonnorm","0.022","25.2"
"Bilirubin (median [IQR])","17.00 [9.00, 50.00]","17.00 [9.00, 35.75]","0.805","nonnorm","0.058","28.2"
"ICUA_infection = 1 (%)","14 (11.6)","17 (11.7)","1.000","","0.005","0.0"
"Microbe_groups = Fungal (%)","2 (1.7)","3 (2.1)","1.000","","0.031","0.0"
"Klebsiella = 1 (%)","22 (18.6)","8 (5.9)","0.003","","0.397","4.5"
"S.aureus = 1 (%)","2 (1.7)","24 (17.6)","<0.001","","0.561","4.5"
"CoNS = 1 (%)","12 (10.2)","18 (13.2)","0.575","","0.095","4.5"
"Staph_unknown = 1 (%)","0 (0.0)","3 (2.2)","0.298","","0.212","4.5"
"Enterococcus = 1 (%)","21 (17.8)","34 (25.0)","0.216","","0.176","4.5"
"E.coli = 1 (%)","46 (39.0)","18 (13.2)","<0.001","","0.613","4.5"
"Streptococcus = 1 (%)","5 (4.2)","37 (27.2)","<0.001","","0.665","4.5"
"SOFAtot (median [IQR])","9.00 [7.00, 11.25]","8.00 [6.00, 10.00]","0.099","nonnorm","0.227","1.1"
"MEWS_score (median [IQR])","11.00 [8.00, 13.00]","10.00 [8.00, 11.00]","0.038","nonnorm","0.256","0.4"
"APACHE_IV_Score.x (median [IQR])","88.00 [65.00, 107.00]","85.00 [66.00, 107.00]","0.765","nonnorm","0.046","0.0"
"Shock_on_admis = 1 (%)","67 (55.4)","73 (50.3)","0.487","","0.101","0.0"
"length_of_stay (median [IQR])","17.03 [7.94, 45.88]","16.74 [7.94, 42.03]","0.961","nonnorm","0.063","0.8"
"Death_in_hospital.x = 1 (%)","46 (38.3)","60 (41.7)","0.672","","0.068","0.8"
"death_in_ICU_correct = 1 (%)","31 (25.6)","36 (24.8)","0.995","","0.018","0.0"
"mort30 = 1 (%)","38 (31.4)","51 (35.2)","0.604","","0.080","0.0"
"mort90 = 1 (%)","50 (41.3)","65 (44.8)","0.652","","0.071","0.0"
"Gram_group = Gram_positive (%)","0 (0.0)","145 (100.0)","<0.001","","NaN","0.0"
