"tablename","1","2","3","p","test","SMD","Missing"
"n","42","41","42","","","",""
"age_yrs (median [IQR])","63.00 [54.25, 70.75]","63.00 [53.00, 71.00]","59.50 [54.00, 71.00]","0.754","nonnorm","0.127","0.0"
"gender = Male (%)","26 (61.9)","27 (65.9)","27 (64.3)","0.931","","0.055","0.0"
"BMI (median [IQR])","24.49 [22.31, 27.68]","24.45 [23.56, 27.57]","24.51 [20.99, 29.32]","0.724","nonnorm","0.134","1.6"
"COPD = 1 (%)","7 (16.7)","3 (7.3)","3 (7.1)","0.264","","0.198","0.0"
"Chronic_heart_failure = 1 (%)","2 (4.8)","2 (4.9)","0 (0.0)","0.351","","0.214","0.0"
"Past_myocardial_infarction = 1 (%)","3 (7.1)","5 (12.2)","1 (2.4)","0.224","","0.260","0.0"
"Cerebrovascular_disease = 1 (%)","4 (9.5)","4 (9.8)","4 (9.5)","0.999","","0.005","0.0"
"mneoplasm = 1 (%)","12 (28.6)","12 (29.3)","12 (28.6)","0.997","","0.010","0.0"
"ckd = 1 (%)","8 (19.0)","5 (12.2)","8 (19.0)","0.630","","0.126","0.0"
"diabetes = 1 (%)","5 (11.9)","9 (22.0)","8 (19.0)","0.464","","0.180","0.0"
"ICUA_no_complication = 1 (%)","32 (76.2)","32 (78.0)","33 (78.6)","0.963","","0.038","0.0"
"Syndecan.1.CD138..29. (median [IQR])","5548.48 [3798.84, 7217.23]","12983.34 [11029.14, 14757.76]","21352.73 [19445.97, 28960.36]","<0.001","nonnorm","2.436","0.0"
"CX3CL1.Fractalkine..46. (median [IQR])","2042.24 [1356.33, 3471.15]","3720.30 [2958.68, 4611.27]","4554.49 [2969.88, 6145.62]","<0.001","nonnorm","0.207","8.8"
"Cystatin.C..75. (median [IQR])","680546.13 [490875.28, 1038059.33]","1051206.39 [699074.82, 1773387.49]","1004286.86 [704888.88, 1398089.66]","0.004","nonnorm","0.438","0.0"
"ESM.1..22. (median [IQR])","917.97 [343.49, 1277.64]","1753.77 [827.49, 2488.87]","2278.69 [914.13, 3556.11]","<0.001","nonnorm","0.250","0.0"
"Ang.1..64. (median [IQR])","2329.50 [1441.63, 3889.41]","2316.61 [1038.37, 3288.02]","1224.56 [578.59, 1832.13]","0.002","nonnorm","0.488","0.0"
"Ang.2..26. (median [IQR])","5620.62 [2910.95, 10883.63]","10437.47 [6130.24, 13795.66]","13142.41 [6655.83, 19719.38]","<0.001","nonnorm","0.527","0.0"
"ANG_ratio (median [IQR])","2.19 [1.28, 5.34]","3.96 [2.03, 12.74]","10.94 [5.06, 26.04]","<0.001","nonnorm","0.474","0.0"
"Platelets_value_1 (median [IQR])","160.00 [111.00, 252.00]","143.00 [68.00, 204.00]","93.00 [40.00, 217.00]","0.025","nonnorm","0.214","0.8"
"WBC_2_1 (median [IQR])","13.45 [8.20, 18.98]","17.30 [9.10, 22.50]","9.60 [3.55, 18.78]","0.068","nonnorm","0.266","0.0"
"Creatinine_value_1 (median [IQR])","125.00 [79.00, 153.00]","146.00 [99.00, 231.00]","153.50 [119.50, 263.00]","0.017","nonnorm","0.445","0.8"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","11.60 [7.58, 15.58]","14.30 [10.95, 26.05]","14.10 [9.30, 19.10]","0.086","nonnorm","0.388","21.6"
"Bilirubin (median [IQR])","10.50 [8.00, 13.75]","23.00 [12.00, 33.00]","24.00 [11.50, 65.50]","0.001","nonnorm","0.525","26.4"
"ICUA_infection = 1 (%)","3 (7.1)","2 (4.9)","6 (14.3)","0.286","","0.217","0.0"
"Microbe_groups = Bacteremia (%)","42 (100.0)","41 (100.0)","42 (100.0)","NA","","<0.001","0.0"
"Klebsiella = 1 (%)","4 (9.5)","4 (9.8)","4 (9.5)","0.999","","0.005","0.0"
"S.aureus = 1 (%)","4 (9.5)","9 (22.0)","7 (16.7)","0.300","","0.231","0.0"
"CoNS = 1 (%)","7 (16.7)","3 (7.3)","2 (4.8)","0.150","","0.263","0.0"
"Staph_unknown = 1 (%)","1 (2.4)","0 (0.0)","2 (4.8)","0.366","","0.222","0.0"
"Enterococcus = 1 (%)","5 (11.9)","5 (12.2)","7 (16.7)","0.776","","0.091","0.0"
