"tablename","High","Low","p","test","SMD","Missing"
"n","161","28","","","",""
"age_yrs (median [IQR])","62.00 [53.00, 71.00]","63.00 [56.25, 70.25]","0.716","nonnorm","0.044","0.0"
"gender = Male (%)","105 (65.2)","15 (53.6)","0.333","","0.239","0.0"
"BMI (median [IQR])","24.51 [22.26, 27.30]","24.22 [22.44, 26.63]","0.620","nonnorm","0.257","4.2"
"COPD = 1 (%)","16 (9.9)","5 (17.9)","0.366","","0.230","0.0"
"Chronic_heart_failure = 1 (%)","6 (3.7)","1 (3.6)","1.000","","0.008","0.0"
"Past_myocardial_infarction = 1 (%)","15 (9.3)","2 (7.1)","0.989","","0.079","0.0"
"Cerebrovascular_disease = 1 (%)","14 (8.7)","2 (7.1)","1.000","","0.058","0.0"
"mneoplasm = 1 (%)","49 (30.4)","4 (14.3)","0.127","","0.395","0.0"
"ckd = 1 (%)","32 (19.9)","3 (10.7)","0.374","","0.257","0.0"
"diabetes = 1 (%)","36 (22.4)","2 (7.1)","0.110","","0.439","0.0"
"ICUA_no_complication = 1 (%)","122 (75.8)","23 (82.1)","0.622","","0.157","0.0"
"syndecan_original (median [IQR])","14824.68 [9844.78, 20135.99]","3795.84 [3465.39, 4507.65]","<0.001","nonnorm","1.648","0.0"
"Platelets_value_1 (median [IQR])","125.00 [59.00, 215.00]","194.00 [139.00, 258.50]","0.007","nonnorm","0.433","0.0"
"WBC_2_1 (median [IQR])","13.60 [6.60, 21.42]","19.10 [13.75, 25.50]","0.008","nonnorm","0.442","1.1"
"Creatinine_value_1 (median [IQR])","154.00 [109.25, 233.00]","113.00 [75.25, 141.50]","0.001","nonnorm","0.755","1.6"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","13.90 [9.30, 23.40]","8.95 [6.93, 11.62]","0.001","nonnorm","0.919","25.4"
"Bilirubin (median [IQR])","20.50 [9.75, 50.25]","11.50 [8.25, 16.25]","0.010","nonnorm","0.621","29.1"
"ICUA_infection = 1 (%)","17 (10.6)","2 (7.1)","0.830","","0.120","0.0"
"FinalGroup_pathegon (%)","","","<0.001","","1.417","0.0"
"   E.coli","36 (22.4)","2 (7.1)","","","",""
"   Enterobacter","8 (5.0)","0 (0.0)","","","",""
"   Enterococcus","23 (14.3)","1 (3.6)","","","",""
"   Klebsiella","12 (7.5)","2 (7.1)","","","",""
"   Mixed_pathegon","23 (14.3)","1 (3.6)","","","",""
"   Other_pathogens","14 (8.7)","2 (7.1)","","","",""
"   Pseudomonas","5 (3.1)","3 (10.7)","","","",""
"   S.aureus","22 (13.7)","1 (3.6)","","","",""
"   Streptococcus","18 (11.2)","16 (57.1)","","","",""
"SOFAtot (median [IQR])","9.00 [7.00, 11.00]","7.00 [5.00, 8.00]","<0.001","nonnorm","0.850","2.1"
"MEWS_score (median [IQR])","11.00 [9.00, 12.00]","8.50 [7.00, 11.00]","0.003","nonnorm","0.636","0.0"
"APACHE_IV_Score.x (median [IQR])","90.00 [67.00, 112.00]","63.00 [54.50, 82.00]","<0.001","nonnorm","0.963","0.0"
"Shock_on_admis = 1 (%)","95 (59.0)","8 (28.6)","0.005","","0.645","0.0"
"length_of_stay (median [IQR])","16.19 [8.25, 42.66]","15.70 [6.75, 24.80]","0.638","nonnorm","0.111","0.5"
"Death_in_hospital.x = 1 (%)","67 (41.9)","7 (25.0)","0.140","","0.364","0.5"
"death_in_ICU_correct = 1 (%)","43 (26.7)","4 (14.3)","0.243","","0.311","0.0"
"mort30 = 1 (%)","56 (34.8)","5 (17.9)","0.121","","0.392","0.0"
"mort90 = 1 (%)","73 (45.3)","7 (25.0)","0.071","","0.436","0.0"
"sd_group_based_healthy = Low (%)","0 (0.0)","28 (100.0)","<0.001","","NaN","0.0"
"sd_group_based_healthy_3 (%)","","","<0.001","","0.827","0.0"
"   High","120 (74.5)","0 (0.0)","","","",""
"   Low","0 (0.0)","28 (100.0)","","","",""
"   Moderate","41 (25.5)","0 (0.0)","","","",""
"FinalGroup_gram (%)","","","0.143","","0.422","0.0"
"   Both","15 (9.3)","1 (3.6)","","","",""
"   Gram_negative","74 (46.0)","9 (32.1)","","","",""
"   Gram_positive","72 (44.7)","18 (64.3)","","","",""
