"tablename","Overall","Missing"
"n","53",""
"age_yrs (median [IQR])","64.00 [48.00, 73.00]","0.0"
"gender = Male (%)","34 (64.2)","0.0"
"BMI (median [IQR])","24.47 [21.96, 27.06]","1.9"
"COPD = 1 (%)","6 (11.3)","0.0"
"Chronic_heart_failure = 1 (%)","2 (3.8)","0.0"
"Past_myocardial_infarction = 1 (%)","3 (5.7)","0.0"
"Cerebrovascular_disease = 1 (%)","1 (1.9)","0.0"
"mneoplasm = 1 (%)","3 (5.7)","0.0"
"Immune_deficiency = 1 (%)","5 (9.4)","0.0"
"ckd = 1 (%)","7 (13.2)","0.0"
"diabetes = 1 (%)","11 (20.8)","0.0"
"ICUA_no_complication = 1 (%)","46 (86.8)","0.0"
"Platelets_value_1 (median [IQR])","184.00 [126.00, 229.00]","0.0"
"WBC_2_1 (median [IQR])","12.50 [9.50, 16.00]","0.0"
"Creatinine_value_1 (median [IQR])","102.00 [64.00, 170.00]","0.0"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","6.80 [4.70, 8.55]","41.5"
"Bilirubin (median [IQR])","11.00 [6.00, 21.00]","49.1"
"MEWS_score (median [IQR])","9.00 [7.00, 11.00]","0.0"
"APACHE_IV_Score (median [IQR])","71.00 [48.00, 95.00]","0.0"
"SOFAtot (median [IQR])","7.00 [3.00, 9.00]","7.5"
"ICUA_ARDS = 1 (%)","1 (1.9)","0.0"
"AKI_24h = 1 (%)","18 (34.0)","0.0"
"Shock_24h = 1 (%)","16 (30.2)","0.0"
"length_of_stay (median [IQR])","8.15 [3.54, 15.98]","0.0"
"Death_in_hospital.x = 1 (%)","12 (22.6)","0.0"
"death_in_ICU_correct = 1 (%)","10 (18.9)","0.0"
"mort30 = 1 (%)","11 (20.8)","0.0"
"mort90 = 1 (%)","15 (28.3)","0.0"
"adm_diag_group (%)","","0.0"
"   Acid-base electrolyte disturbance","1 (1.9)",""
"   Acute neurological disease (CVA, haemorrhage)","6 (11.3)",""
"   Cardiac arrest","6 (11.3)",""
"   Cardiac failure","3 (5.7)",""
"   Complications after kidney transplantation","1 (1.9)",""
"   Diabetic ketoacidosis","2 (3.8)",""
"   Dissecting aortic aneurysm","3 (5.7)",""
"   Drug overdose","1 (1.9)",""
"   Endarterectomy","1 (1.9)",""
"   Gastrointestinal surgery","2 (3.8)",""
"   Hepatic failure","1 (1.9)",""
"   Pulmonary embolism","1 (1.9)",""
"   Respiratory failure","11 (20.8)",""
"   Retroperitoneal lymph node dissection","1 (1.9)",""
"   Trauma","2 (3.8)",""
"   Unspecified","11 (20.8)",""
