"tablename","1","2","3","p","test","SMD","Missing"
"n","67","66","66","","","",""
"age_yrs (median [IQR])","63.00 [53.50, 69.50]","63.50 [53.00, 71.75]","62.00 [53.00, 71.00]","0.860","nonnorm","0.085","0.0"
"gender = Male (%)","41 (61.2)","40 (60.6)","44 (66.7)","0.729","","0.084","0.0"
"BMI (median [IQR])","23.83 [22.26, 27.02]","24.69 [23.44, 26.67]","24.65 [21.02, 27.46]","0.495","nonnorm","0.135","4.0"
"COPD = 1 (%)","8 (11.9)","11 (16.7)","3 (4.5)","0.082","","0.269","0.0"
"Chronic_heart_failure = 1 (%)","3 (4.5)","4 (6.1)","0 (0.0)","0.146","","0.245","0.0"
"Past_myocardial_infarction = 1 (%)","6 (9.0)","7 (10.6)","5 (7.6)","0.831","","0.070","0.0"
"Cerebrovascular_disease = 1 (%)","6 (9.0)","6 (9.1)","6 (9.1)","1.000","","0.003","0.0"
"mneoplasm = 1 (%)","17 (25.4)","19 (28.8)","20 (30.3)","0.811","","0.073","0.0"
"ckd = 1 (%)","11 (16.4)","12 (18.2)","14 (21.2)","0.773","","0.082","0.0"
"diabetes = 1 (%)","11 (16.4)","16 (24.2)","14 (21.2)","0.531","","0.130","0.0"
"ICUA_no_complication = 1 (%)","54 (80.6)","47 (71.2)","52 (78.8)","0.397","","0.147","0.0"
"Syndecan.1.CD138..29. (median [IQR])","5367.77 [3892.78, 7338.09]","13128.65 [11072.88, 15065.18]","22710.07 [19305.35, 29582.48]","<0.001","nonnorm","1.722","0.0"
"CX3CL1.Fractalkine..46. (median [IQR])","2042.24 [1356.33, 3574.61]","3941.48 [2870.44, 4983.58]","4870.72 [3825.06, 7982.56]","<0.001","nonnorm","0.159","9.0"
"ESM.1..22. (median [IQR])","1055.20 [469.88, 1452.53]","1738.82 [976.54, 2903.95]","2601.36 [1267.32, 5082.04]","<0.001","nonnorm","0.473","0.0"
"Ang.1..64. (median [IQR])","2239.32 [1349.47, 3644.97]","2311.18 [1040.66, 3418.72]","1362.87 [796.19, 2930.13]","0.021","nonnorm","0.256","0.0"
"Ang.2..26. (median [IQR])","5546.86 [3292.55, 11055.02]","10428.13 [5877.62, 13940.60]","13352.63 [7951.99, 20680.65]","<0.001","nonnorm","0.468","0.0"
"ANG2_1 (median [IQR])","2.60 [1.30, 5.48]","4.05 [1.91, 12.23]","9.74 [3.80, 25.37]","<0.001","nonnorm","0.438","0.0"
"Platelets_value_1 (median [IQR])","165.00 [111.00, 252.00]","136.00 [59.00, 221.00]","98.00 [43.75, 195.00]","0.005","nonnorm","0.285","1.5"
"WBC_2_1 (median [IQR])","16.55 [10.25, 22.25]","14.40 [8.00, 21.60]","11.40 [5.12, 20.10]","0.085","nonnorm","0.165","1.0"
"Creatinine_value_1 (median [IQR])","121.00 [79.00, 158.00]","156.00 [106.00, 234.00]","161.00 [121.25, 259.25]","<0.001","nonnorm","0.431","1.5"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","10.60 [7.05, 14.55]","14.20 [9.75, 25.62]","14.50 [10.25, 19.45]","0.007","nonnorm","0.363","26.1"
"Bilirubin (median [IQR])","12.00 [8.00, 18.00]","22.00 [10.00, 47.00]","25.00 [12.50, 55.00]","0.001","nonnorm","0.469","30.2"
"ICUA_infection = 1 (%)","3 (4.5)","9 (13.6)","8 (12.1)","0.169","","0.216","0.0"
"Microbe_groups = Bacteremia (%)","67 (100.0)","66 (100.0)","66 (100.0)","NA","","<0.001","0.0"
"FinalGroup_pathegon (%)","","","","0.540","","0.449","0.0"
"   E.coli","11 (16.4)","13 (19.7)","15 (22.7)","","","",""
"   Enterococcus","7 (10.4)","7 (10.6)","9 (13.6)","","","",""
"   Klebsiella","3 (4.5)","6 (9.1)","4 (6.1)","","","",""
"   Mixed_pathegon","13 (19.4)","15 (22.7)","13 (19.7)","","","",""
"   Other_pathegon","6 (9.0)","8 (12.1)","3 (4.5)","","","",""
"   Pseudomonas","4 (6.0)","1 (1.5)","4 (6.1)","","","",""
"   S.aureus","5 (7.5)","8 (12.1)","9 (13.6)","","","",""
"   Streptococcus","18 (26.9)","8 (12.1)","9 (13.6)","","","",""
"Klebsiella = 1 (%)","8 (11.9)","7 (10.6)","8 (12.1)","0.957","","0.032","0.0"
"S.aureus = 1 (%)","6 (9.0)","10 (15.2)","10 (15.2)","0.472","","0.127","0.0"
"Enterococcus = 1 (%)","11 (16.4)","14 (21.2)","14 (21.2)","0.723","","0.082","0.0"
"E.coli = 1 (%)","15 (22.4)","16 (24.2)","20 (30.3)","0.551","","0.120","0.0"
"Streptococcus = 1 (%)","19 (28.4)","10 (15.2)","10 (15.2)","0.085","","0.216","0.0"
"Pseudomonas = 1 (%)","4 (6.0)","1 (1.5)","6 (9.1)","0.160","","0.233","0.0"
"Enterobacter = 1 (%)","4 (6.0)","6 (9.1)","3 (4.5)","0.557","","0.121","0.0"
