"tablename","1","2","3","p","test","SMD","Missing"
"n","64","63","63","","","",""
"age_yrs (median [IQR])","62.50 [52.75, 69.25]","64.00 [53.50, 71.50]","62.00 [53.00, 71.00]","0.758","nonnorm","0.096","0.0"
"gender = Male (%)","40 (62.5)","38 (60.3)","42 (66.7)","0.754","","0.088","0.0"
"BMI (median [IQR])","23.96 [22.38, 27.25]","24.69 [23.42, 26.56]","24.44 [21.09, 27.44]","0.699","nonnorm","0.079","4.2"
"COPD = 1 (%)","8 (12.5)","10 (15.9)","3 (4.8)","0.125","","0.249","0.0"
"Chronic_heart_failure = 1 (%)","3 (4.7)","4 (6.3)","0 (0.0)","0.146","","0.252","0.0"
"Past_myocardial_infarction = 1 (%)","7 (10.9)","6 (9.5)","4 (6.3)","0.651","","0.109","0.0"
"Cerebrovascular_disease = 1 (%)","6 (9.4)","6 (9.5)","4 (6.3)","0.769","","0.078","0.0"
"mneoplasm = 1 (%)","15 (23.4)","19 (30.2)","19 (30.2)","0.621","","0.101","0.0"
"ckd = 1 (%)","10 (15.6)","12 (19.0)","13 (20.6)","0.758","","0.087","0.0"
"diabetes = 1 (%)","11 (17.2)","14 (22.2)","13 (20.6)","0.768","","0.085","0.0"
"ICUA_no_complication = 1 (%)","50 (78.1)","46 (73.0)","50 (79.4)","0.669","","0.100","0.0"
"Syndecan.1.CD138..29. (median [IQR])","5548.48 [3987.44, 7787.30]","13547.00 [11316.59, 15133.61]","22578.77 [19336.27, 29935.07]","<0.001","nonnorm","1.694","0.0"
"Platelets_value_1 (median [IQR])","163.50 [114.25, 255.00]","139.50 [59.75, 226.25]","93.00 [44.50, 194.00]","0.004","nonnorm","0.290","1.6"
"WBC_2_1 (median [IQR])","16.40 [10.60, 22.95]","14.70 [8.00, 21.67]","11.40 [5.05, 20.00]","0.053","nonnorm","0.185","1.1"
"Creatinine_value_1 (median [IQR])","122.50 [80.00, 161.00]","160.50 [106.25, 250.50]","163.00 [122.50, 255.50]","<0.001","nonnorm","0.427","1.6"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","10.60 [7.15, 14.55]","13.90 [9.80, 24.70]","14.50 [9.97, 19.52]","0.013","nonnorm","0.323","25.3"
"Bilirubin (median [IQR])","12.00 [8.00, 19.25]","21.50 [9.25, 44.00]","25.00 [12.00, 55.00]","0.005","nonnorm","0.431","28.9"
"ICUA_infection = 1 (%)","3 (4.7)","9 (14.3)","7 (11.1)","0.185","","0.222","0.0"
"FinalGroup_pathegon (%)","","","","0.319","","0.545","0.0"
"   E.coli","13 (20.3)","10 (15.9)","15 (23.8)","","","",""
"   Enterobacter","1 (1.6)","4 (6.3)","3 (4.8)","","","",""
"   Enterococcus","5 (7.8)","10 (15.9)","9 (14.3)","","","",""
"   Klebsiella","4 (6.2)","6 (9.5)","4 (6.3)","","","",""
"   Mixed_pathegon","6 (9.4)","10 (15.9)","8 (12.7)","","","",""
"   Other_pathogens","6 (9.4)","7 (11.1)","3 (4.8)","","","",""
"   Pseudomonas","4 (6.2)","1 (1.6)","4 (6.3)","","","",""
"   S.aureus","6 (9.4)","8 (12.7)","9 (14.3)","","","",""
"   Streptococcus","19 (29.7)","7 (11.1)","8 (12.7)","","","",""
"SOFAtot (median [IQR])","7.00 [5.00, 8.00]","9.00 [7.00, 11.00]","10.00 [8.00, 13.00]","<0.001","nonnorm","0.689","2.1"
"MEWS_score (median [IQR])","9.00 [7.00, 11.00]","11.00 [9.00, 12.00]","11.00 [9.00, 13.00]","<0.001","nonnorm","0.462","0.0"
"APACHE_IV_Score.x (median [IQR])","65.00 [57.00, 88.25]","86.00 [73.00, 107.50]","101.00 [75.50, 123.50]","<0.001","nonnorm","0.680","0.0"
"Shock_on_admis = 1 (%)","26 (40.6)","42 (66.7)","36 (57.1)","0.012","","0.358","0.0"
"length_of_stay (median [IQR])","15.70 [8.33, 34.73]","16.52 [9.00, 42.13]","16.03 [3.61, 43.15]","0.629","nonnorm","0.046","0.5"
"Death_in_hospital.x = 1 (%)","16 (25.0)","28 (45.2)","31 (49.2)","0.012","","0.344","0.5"
"death_in_ICU_correct = 1 (%)","6 (9.4)","16 (25.4)","26 (41.3)","<0.001","","0.521","0.0"
"mort30 = 1 (%)","10 (15.6)","22 (34.9)","30 (47.6)","0.001","","0.483","0.0"
"mort90 = 1 (%)","17 (26.6)","31 (49.2)","33 (52.4)","0.006","","0.364","0.0"
"Syndecan_group (%)","","","","<0.001","","NaN","0.0"
"   1","64 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   2","0 (0.0)","63 (100.0)","0 (0.0)","","","",""
"   3","0 (0.0)","0 (0.0)","63 (100.0)","","","",""
"FinalGroup_gram (%)","","","","0.743","","0.169","0.0"
"   Both","3 (4.7)","7 (11.1)","6 (9.5)","","","",""
"   Gram_negative","30 (46.9)","26 (41.3)","28 (44.4)","","","",""
"   Gram_positive","31 (48.4)","30 (47.6)","29 (46.0)","","","",""
