"tablename","1","2","3","p","test","SMD","Missing"
"n","63","62","63","","","",""
"Syndecan1 (median [IQR])","5528.08 [3984.65, 7645.69]","13128.65 [11216.63, 14917.53]","22197.07 [19066.98, 29482.88]","<0.001","nonnorm","2.411","0.0"
"age_yrs (median [IQR])","62.00 [52.50, 68.50]","64.50 [54.25, 71.75]","62.00 [53.00, 71.50]","0.705","nonnorm","0.099","0.0"
"gender = Male (%)","40 (63.5)","37 (59.7)","42 (66.7)","0.719","","0.097","0.0"
"BMI (median [IQR])","23.95 [22.36, 26.97]","24.69 [23.41, 26.60]","24.44 [21.23, 27.45]","0.674","nonnorm","0.088","4.3"
"COPD = 1 (%)","8 (12.7)","10 (16.1)","3 (4.8)","0.117","","0.253","0.0"
"Chronic_heart_failure = 1 (%)","3 (4.8)","4 (6.5)","0 (0.0)","0.141","","0.254","0.0"
"Past_myocardial_infarction = 1 (%)","6 (9.5)","7 (11.3)","4 (6.3)","0.621","","0.117","0.0"
"Cerebrovascular_disease = 1 (%)","6 (9.5)","6 (9.7)","4 (6.3)","0.752","","0.082","0.0"
"mneoplasm = 1 (%)","15 (23.8)","19 (30.6)","19 (30.2)","0.637","","0.103","0.0"
"Immune_deficiency = 1 (%)","10 (15.9)","10 (16.1)","18 (28.6)","0.128","","0.206","0.0"
"ckd = 1 (%)","10 (15.9)","12 (19.4)","12 (19.0)","0.854","","0.061","0.0"
"diabetes = 1 (%)","10 (15.9)","15 (24.2)","12 (19.0)","0.498","","0.139","0.0"
"ICUA_no_complication = 1 (%)","50 (79.4)","44 (71.0)","50 (79.4)","0.442","","0.130","0.0"
"Platelets_value_1 (median [IQR])","162.00 [114.50, 254.00]","139.50 [63.50, 219.50]","93.00 [41.00, 210.00]","0.005","nonnorm","0.283","0.0"
"WBC_2_1 (median [IQR])","16.55 [11.70, 23.23]","11.90 [7.70, 21.60]","12.60 [5.15, 20.25]","0.075","nonnorm","0.171","1.1"
"Creatinine_value_1 (median [IQR])","124.00 [80.00, 162.00]","156.00 [106.00, 256.00]","159.00 [121.50, 246.50]","0.002","nonnorm","0.381","1.6"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","10.10 [7.12, 13.93]","14.90 [9.75, 26.00]","14.05 [9.97, 19.15]","0.007","nonnorm","0.374","25.5"
"Bilirubin (median [IQR])","12.00 [8.00, 19.50]","18.00 [9.00, 35.00]","28.00 [12.00, 55.00]","0.004","nonnorm","0.481","29.3"
"SOFAtot_new (median [IQR])","7.00 [5.00, 8.00]","9.00 [7.00, 11.00]","10.00 [8.00, 14.00]","<0.001","nonnorm","0.700","2.1"
"MEWS_score (median [IQR])","9.00 [7.00, 11.00]","11.00 [9.00, 12.00]","11.00 [9.00, 13.00]","<0.001","nonnorm","0.515","0.0"
"APACHE_IV_Score (median [IQR])","65.00 [57.00, 88.50]","85.50 [73.00, 105.75]","101.00 [75.50, 123.50]","<0.001","nonnorm","0.672","0.0"
"ICUA_ARDS = 1 (%)","3 (4.8)","2 (3.2)","4 (6.3)","0.716","","0.098","0.0"
"ICUA_AKI = 1 (%)","7 (11.1)","5 (8.1)","2 (3.2)","0.231","","0.210","0.0"
"Shock_on_admis = 1 (%)","25 (39.7)","41 (66.1)","36 (57.1)","0.010","","0.363","0.0"
"length_of_stay (median [IQR])","15.56 [8.32, 30.92]","16.78 [9.48, 43.37]","16.29 [3.61, 43.15]","0.542","nonnorm","0.056","0.5"
"Death_in_hospital.x = 1 (%)","15 (23.8)","28 (45.9)","31 (49.2)","0.007","","0.363","0.5"
"death_in_ICU_correct = 1 (%)","6 (9.5)","15 (24.2)","26 (41.3)","<0.001","","0.518","0.0"
"mort30 = 1 (%)","10 (15.9)","21 (33.9)","30 (47.6)","0.001","","0.478","0.0"
"mort90 = 1 (%)","16 (25.4)","31 (50.0)","33 (52.4)","0.003","","0.383","0.0"
"FinalGroup_pathegon (%)","","","","0.221","","0.580","0.0"
"   E.coli","12 (19.0)","10 (16.1)","16 (25.4)","","","",""
"   Enterobacter","1 (1.6)","4 (6.5)","3 (4.8)","","","",""
"   Enterococcus","6 (9.5)","10 (16.1)","9 (14.3)","","","",""
"   Klebsiella","4 (6.3)","6 (9.7)","4 (6.3)","","","",""
"   Mixed_pathegon","5 (7.9)","10 (16.1)","8 (12.7)","","","",""
"   Other_pathogens","6 (9.5)","7 (11.3)","2 (3.2)","","","",""
"   Pseudomonas","4 (6.3)","1 (1.6)","3 (4.8)","","","",""
"   S.aureus","6 (9.5)","7 (11.3)","10 (15.9)","","","",""
"   Streptococcus","19 (30.2)","7 (11.3)","8 (12.7)","","","",""
"FinalGroup_gram (%)","","","","0.759","","0.166","0.0"
"   Both","3 (4.8)","7 (11.3)","6 (9.5)","","","",""
"   Gram_negative","29 (46.0)","26 (41.9)","28 (44.4)","","","",""
"   Gram_positive","31 (49.2)","29 (46.8)","29 (46.0)","","","",""
"Syndecan_group (%)","","","","<0.001","","NaN","0.0"
"   1","63 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   2","0 (0.0)","62 (100.0)","0 (0.0)","","","",""
"   3","0 (0.0)","0 (0.0)","63 (100.0)","","","",""
