"tablename","Overall","Missing"
"n","142",""
"Syndecan1 (median [IQR])","12799.11 [6806.30, 18513.90]","0.0"
"age_yrs (median [IQR])","63.00 [54.00, 71.00]","0.0"
"gender = Male (%)","88 (62.0)","0.0"
"BMI (median [IQR])","24.49 [22.41, 27.15]","3.5"
"COPD = 1 (%)","18 (12.7)","0.0"
"Chronic_heart_failure = 1 (%)","7 (4.9)","0.0"
"Past_myocardial_infarction = 1 (%)","11 (7.7)","0.0"
"Cerebrovascular_disease = 1 (%)","14 (9.9)","0.0"
"mneoplasm = 1 (%)","36 (25.4)","0.0"
"Immune_deficiency = 1 (%)","26 (18.3)","0.0"
"ckd = 1 (%)","26 (18.3)","0.0"
"diabetes = 1 (%)","31 (21.8)","0.0"
"ICUA_no_complication = 1 (%)","109 (76.8)","0.0"
"Platelets_value_1 (median [IQR])","146.00 [83.50, 235.50]","0.0"
"WBC_2_1 (median [IQR])","14.40 [8.30, 22.40]","0.7"
"Creatinine_value_1 (median [IQR])","141.00 [106.00, 199.00]","0.7"
"Blood_Urea_Nitrogen_value_1 (median [IQR])","13.00 [8.50, 19.50]","26.1"
"Bilirubin (median [IQR])","18.00 [9.00, 35.50]","30.3"
"SOFAtot_new (median [IQR])","8.00 [6.00, 10.00]","0.0"
"MEWS_score (median [IQR])","11.00 [8.00, 12.00]","0.0"
"APACHE_IV_Score (median [IQR])","84.00 [63.00, 102.00]","0.0"
"ICUA_ARDS = 1 (%)","6 (4.2)","0.0"
"AKI_24h = 1 (%)","72 (50.7)","0.0"
"Shock_24h = 1 (%)","53 (37.3)","0.0"
"length_of_stay (median [IQR])","16.29 [8.84, 42.42]","0.7"
"Death_in_hospital.x = 1 (%)","49 (34.8)","0.7"
"death_in_ICU_correct = 1 (%)","32 (22.5)","0.0"
"mort30 = 1 (%)","42 (29.6)","0.0"
"mort90 = 1 (%)","54 (38.0)","0.0"
"FinalGroup_pathegon (%)","","0.0"
"   E.coli","26 (18.3)",""
"   Enterobacter","5 (3.5)",""
"   Enterococcus","18 (12.7)",""
"   Klebsiella","10 (7.0)",""
"   Mixed_pathegon","18 (12.7)",""
"   Other_pathogens","12 (8.5)",""
"   Pseudomonas","6 (4.2)",""
"   S.aureus","18 (12.7)",""
"   Streptococcus","29 (20.4)",""
"FinalGroup_gram (%)","","0.0"
"   Both","12 (8.5)",""
"   Gram_negative","60 (42.3)",""
"   Gram_positive","70 (49.3)",""
